trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,8.374865799909458,7884.454901200001,,,NaN,NaN,NaN
2,right,9.855217600008473,7885.955038100001,9.855217600008473,7885.955038100001,False,NaN,NaN
3,none,11.354799599852413,7887.4571499,,,NaN,NaN,NaN
4,right,12.871218799846247,7888.954906200001,12.871218799846247,7888.954906200001,False,NaN,NaN
5,none,14.35383479995653,7890.4555932,,,NaN,NaN,NaN
6,left,15.870763899991289,7891.956927300001,15.870763899991289,7891.956927300001,NaN,NaN,NaN
7,none,17.35528579982929,7893.4585863,,,NaN,NaN,NaN
8,left,18.869439400034025,7894.9583646,18.869439400034025,7894.9583646,NaN,NaN,NaN
9,left,20.35227709985338,7896.457740600001,20.35227709985338,7896.457740600001,NaN,NaN,NaN
10,none,21.885053499834612,7897.961882400001,,,NaN,NaN,NaN
