trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,17.40482250000059,9564.100560500001,,,NaN,NaN,NaN
2,right,18.909000300000116,9565.602674200001,18.909000300000116,9565.602674200001,False,NaN,NaN
3,none,20.404662000000826,9567.1016584,,,NaN,NaN,NaN
4,right,21.907067399999505,9568.603615600001,21.907067399999505,9568.603615600001,False,NaN,NaN
5,none,23.40675580000061,9570.103801700001,,,NaN,NaN,NaN
6,left,24.90750459999981,9571.604469200001,24.90750459999981,9571.604469200001,NaN,NaN,NaN
7,none,26.407696000000215,9573.1048462,,,NaN,NaN,NaN
8,left,27.90959870000006,9574.6062204,27.90959870000006,9574.6062204,NaN,NaN,NaN
9,left,29.409605799999554,9576.106845100001,29.409605799999554,9576.106845100001,NaN,NaN,NaN
10,none,30.91002320000007,9577.606581400001,,,NaN,NaN,NaN
11,right,32.41161230000034,9579.1082857,32.41161230000034,9579.1082857,False,NaN,NaN
12,left,33.91190180000012,9580.608797300001,33.91190180000012,9580.608797300001,NaN,NaN,NaN
13,none,35.41187589999936,9582.1086073,,,NaN,NaN,NaN
14,left,36.91279840000061,9583.6091173,36.91279840000061,9583.6091173,NaN,NaN,NaN
15,none,38.4134355999995,9585.1092064,,,NaN,NaN,NaN
16,right,39.914267300000574,9586.6099954,39.914267300000574,9586.6099954,False,NaN,NaN
17,none,41.413883799999894,9588.110599200001,,,NaN,NaN,NaN
18,none,42.9144641999992,9589.6110947,,,NaN,NaN,NaN
19,right,44.415379800000665,9591.1124141,44.415379800000665,9591.1124141,False,NaN,NaN
20,none,45.91713770000024,9592.6130758,,,NaN,NaN,NaN
21,none,47.415875400000004,9594.1133023,,,NaN,NaN,NaN
22,none,48.91788269999961,9595.6139348,,,NaN,NaN,NaN
23,right,50.41738749999968,9597.114256500001,50.41738749999968,9597.114256500001,False,NaN,NaN
24,none,51.91753919999974,9598.614620100001,,,NaN,NaN,NaN
25,none,53.42123940000056,9600.1155202,,,NaN,NaN,NaN
26,none,54.91944159999912,9601.6160358,,,NaN,NaN,NaN
27,none,56.42004830000042,9603.1166193,,,NaN,NaN,NaN
28,left,57.920613199999934,9604.617132000001,57.920613199999934,9604.617132000001,NaN,NaN,NaN
29,none,59.42209329999969,9606.1178414,,,NaN,NaN,NaN
30,left,60.925943300000654,9607.6220625,60.925943300000654,9607.6220625,NaN,NaN,NaN
31,none,62.42438460000085,9609.119220800001,,,NaN,NaN,NaN
32,right,63.923438499999975,9610.619634300001,63.923438499999975,9610.619634300001,False,NaN,NaN
33,none,65.42552699999942,9612.1224827,,,NaN,NaN,NaN
34,left,66.92565959999956,9613.622642600001,66.92565959999956,9613.622642600001,NaN,NaN,NaN
35,none,68.42751669999961,9615.1238782,,,NaN,NaN,NaN
36,left,69.92709570000079,9616.6238494,69.92709570000079,9616.6238494,NaN,NaN,NaN
37,none,71.42704330000015,9618.1239558,,,NaN,NaN,NaN
38,none,72.92747529999906,9619.6241823,,,NaN,NaN,NaN
39,none,74.4285562999994,9621.12528,,,NaN,NaN,NaN
40,none,75.92866219999996,9622.6254069,,,NaN,NaN,NaN
41,none,77.43009039999924,9624.1267678,,,NaN,NaN,NaN
42,none,78.93064679999952,9625.627494600001,,,NaN,NaN,NaN
43,right,80.43229930000052,9627.128393,80.43229930000052,9627.128393,False,NaN,NaN
44,none,81.93214199999966,9628.628696700001,,,NaN,NaN,NaN
45,left,83.4354203999992,9630.1321823,83.4354203999992,9630.1321823,NaN,NaN,NaN
46,none,84.93433689999983,9631.6313336,,,NaN,NaN,NaN
47,none,86.4335372000005,9633.1302245,,,NaN,NaN,NaN
48,right,87.93355770000016,9634.6308505,87.93355770000016,9634.6308505,False,NaN,NaN
49,none,89.43352349999986,9636.1308066,,,NaN,NaN,NaN
50,none,90.93381299999965,9637.6307223,,,NaN,NaN,NaN
51,none,92.43551470000057,9639.1322254,,,NaN,NaN,NaN
52,none,93.93596210000032,9640.632741000001,,,NaN,NaN,NaN
53,right,95.43715379999958,9642.1338711,95.43715379999958,9642.1338711,False,NaN,NaN
54,none,96.93886910000037,9643.6358136,,,NaN,NaN,NaN
55,right,98.4422126999998,9645.1366263,98.4422126999998,9645.1366263,False,NaN,NaN
56,none,99.9399515999994,9646.636635500001,,,NaN,NaN,NaN
57,left,101.44143789999907,9648.1375171,101.44143789999907,9648.1375171,NaN,NaN,NaN
58,none,102.94217650000064,9649.638507900001,,,NaN,NaN,NaN
59,none,104.44245430000046,9651.139142900001,,,NaN,NaN,NaN
60,none,105.9499037000005,9652.641116300001,,,NaN,NaN,NaN
61,left,107.44505179999942,9654.141988500001,107.44505179999942,9654.141988500001,NaN,NaN,NaN
62,none,108.94519480000054,9655.642163600001,,,NaN,NaN,NaN
63,right,110.44631669999944,9657.143244800001,110.44631669999944,9657.143244800001,False,NaN,NaN
