trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,9.980389399919659,8858.900893400001,,,NaN,NaN,NaN
2,right,11.479649699991569,8860.4042387,11.479649699991569,8860.4042387,False,NaN,NaN
3,none,12.979717999929562,8861.9029524,,,NaN,NaN,NaN
4,right,14.478503500111401,8863.4047954,14.478503500111401,8863.4047954,False,NaN,NaN
5,none,15.97834730008617,8864.90538,,,NaN,NaN,NaN
6,left,17.476997500052676,8866.4061041,17.476997500052676,8866.4061041,NaN,NaN,NaN
7,none,18.993738000048324,8867.9064636,,,NaN,NaN,NaN
8,left,20.47593450010754,8869.4080654,20.47593450010754,8869.4080654,NaN,NaN,NaN
9,left,21.975130300037563,8870.908181100001,21.975130300037563,8870.908181100001,NaN,NaN,NaN
10,none,23.4936889000237,8872.408531300001,,,NaN,NaN,NaN
