trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,7.955902300076559,9323.098608400001,,,NaN,NaN,NaN
2,right,9.454539899947122,9324.5997542,9.454539899947122,9324.5997542,False,NaN,NaN
3,none,10.953056799946353,9326.098826500001,,,NaN,NaN,NaN
4,right,12.453041499946266,9327.5995279,12.453041499946266,9327.5995279,False,NaN,NaN
5,none,13.952019700082019,9329.100049800001,,,NaN,NaN,NaN
6,left,15.451726600062102,9330.6005599,15.451726600062102,9330.6005599,False,0.6813215999864042,0.6937469000004057
7,none,16.968211899977177,9332.1009158,,,NaN,0.19598780013620853,0.22388690000116185
8,left,18.470455500064418,9333.6031304,18.470455500064418,9333.6031304,False,0.4085277998819947,0.436934299999848
9,left,19.984813099959865,9335.1170466,19.984813099959865,9335.1170466,NaN,NaN,NaN
