trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,7.321966300019994,7314.2599215,,,NaN,NaN,NaN
2,right,8.821381199872121,7315.762208,8.821381199872121,7315.762208,False,NaN,NaN
3,none,10.319912199862301,7317.2618147,,,NaN,NaN,NaN
4,right,11.819884599884972,7318.763246400001,11.819884599884972,7318.763246400001,False,NaN,NaN
5,none,13.319066599942744,7320.2639488,,,NaN,NaN,NaN
6,left,14.836426999885589,7321.7650094,14.836426999885589,7321.7650094,NaN,NaN,NaN
7,none,16.334830299951136,7323.265287800001,,,NaN,NaN,NaN
8,left,17.81772039993666,7324.768003900001,17.81772039993666,7324.768003900001,NaN,NaN,NaN
9,left,19.31521929986775,7326.2671338,19.31521929986775,7326.2671338,False,0.4736696002073586,0.4845698999997694
10,none,20.81678089988418,7327.7675028,,,NaN,NaN,NaN
