trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,14.924262500135228,9149.306766200001,,,NaN,NaN,NaN
2,right,16.424123800126836,9150.8095856,16.424123800126836,9150.8095856,False,NaN,NaN
3,none,17.923459900077432,9152.308577900001,,,NaN,NaN,NaN
4,right,19.43878740002401,9153.8098649,19.43878740002401,9153.8098649,False,NaN,NaN
5,none,20.939012699993327,9155.309251100001,,,NaN,NaN,NaN
6,left,22.4213563001249,9156.809987,22.4213563001249,9156.809987,NaN,NaN,NaN
7,none,23.92058470007032,9158.310845900001,,,NaN,NaN,NaN
8,left,25.45391510007903,9159.837040800001,25.45391510007903,9159.837040800001,NaN,NaN,NaN
