trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,10.454788899980485,7521.3912035,,,NaN,NaN,NaN
2,right,11.970928699942306,7522.892890200001,11.970928699942306,7522.892890200001,False,NaN,NaN
3,none,13.487317400053144,7524.4079686000005,,,NaN,NaN,NaN
4,right,14.971768999937922,7525.9069539,14.971768999937922,7525.9069539,False,NaN,NaN
5,none,16.470174300018698,7527.4076267,,,NaN,NaN,NaN
6,left,17.969195700017735,7528.908917000001,17.969195700017735,7528.908917000001,NaN,NaN,NaN
7,none,19.468345300061628,7530.408803900001,,,NaN,NaN,NaN
8,left,20.96822899999097,7531.912385400001,20.96822899999097,7531.912385400001,NaN,NaN,NaN
9,left,22.467659699963406,7533.412666,22.467659699963406,7533.412666,NaN,NaN,NaN
