trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,11.639702200000102,142.9980591,,,NaN,NaN,NaN
2,right,13.12213680000059,144.5010431,13.12213680000059,144.5010431,red,0.6688383000000613,0.6837552000000073
3,none,14.63761500000146,146.000066,,,NaN,NaN,NaN
4,right,16.12053770000057,147.5014327,16.12053770000057,147.5014327,red,0.47640599999976985,0.4898796999999888
5,none,17.620442299999922,149.00038360000002,,,NaN,NaN,NaN
6,left,19.13647480000145,150.5020708,19.13647480000145,150.5020708,NaN,NaN,NaN
7,none,20.63656230000015,152.0020948,,,NaN,NaN,NaN
8,left,22.137915999999677,153.5047223,22.137915999999677,153.5047223,NaN,NaN,NaN
9,left,23.63754830000107,155.00582020000002,23.63754830000107,155.00582020000002,NaN,NaN,NaN
10,none,25.134666100000686,156.5049636,,,NaN,NaN,NaN
11,right,26.63390900000013,158.00650960000002,26.63390900000013,158.00650960000002,False,NaN,NaN
12,left,28.138594900001408,159.5109491,28.138594900001408,159.5109491,NaN,NaN,NaN
13,none,29.6499831000001,161.00813300000002,,,NaN,NaN,NaN
14,left,31.132445299999745,162.5094405,31.132445299999745,162.5094405,NaN,NaN,NaN
15,none,32.630163800000446,164.0089443,,,NaN,NaN,NaN
16,right,34.13012350000099,165.5101789,34.13012350000099,165.5101789,False,NaN,NaN
17,none,35.65019890000076,167.01331530000002,,,NaN,NaN,NaN
