trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,8.293064899975434,7093.970587500001,,,NaN,NaN,NaN
2,right,9.790706700179726,7095.470150300001,9.790706700179726,7095.470150300001,False,NaN,NaN
3,none,11.291809700196609,7096.9714412,,,NaN,NaN,NaN
4,right,12.788046500179917,7098.470840200001,12.788046500179917,7098.470840200001,False,NaN,NaN
5,none,14.289575700182468,7099.9702151,,,NaN,NaN,NaN
6,left,15.789635400054976,7101.472534500001,15.789635400054976,7101.472534500001,NaN,NaN,NaN
7,none,17.288217999972403,7102.973498,,,NaN,NaN,NaN
8,left,18.804820300079882,7104.474115800001,18.804820300079882,7104.474115800001,NaN,NaN,NaN
9,left,20.287658100016415,7105.9747445,20.287658100016415,7105.9747445,NaN,NaN,NaN
10,none,21.80387740000151,7107.475690300001,,,NaN,NaN,NaN
11,right,23.28638570010662,7108.9760867,23.28638570010662,7108.9760867,False,NaN,NaN
12,left,24.78606650000438,7110.477541,24.78606650000438,7110.477541,NaN,NaN,NaN
