trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,5.961764000001494,9127.5747714,,,NaN,NaN,NaN
2,right,7.462605000000622,9129.0760009,7.462605000000622,9129.0760009,False,NaN,NaN
3,none,8.962211500000194,9130.57588,,,NaN,NaN,NaN
4,right,10.46534210000027,9132.0775737,10.46534210000027,9132.0775737,False,NaN,NaN
5,none,11.965272500001447,9133.577635700001,,,NaN,NaN,NaN
6,left,13.46604650000154,9135.0786549,13.46604650000154,9135.0786549,NaN,NaN,NaN
7,none,14.966946300000927,9136.5793004,,,NaN,NaN,NaN
8,left,16.467822399999932,9138.0807972,16.467822399999932,9138.0807972,NaN,NaN,NaN
9,left,17.969548300001406,9139.582769,17.969548300001406,9139.582769,NaN,NaN,NaN
10,none,19.468766200001483,9141.082161600001,,,NaN,NaN,NaN
