trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,6.506193600012921,19662.4795262,,,none,NaN,NaN
2,right,8.00418190000346,19664.984568400003,8.00418190000346,19664.984568400003,False,NaN,NaN
3,none,9.504076200013515,19666.485204,,,none,NaN,NaN
4,right,11.00350449999678,19667.9877906,11.00350449999678,19667.9877906,False,NaN,NaN
5,none,12.502527200005716,19669.4904152,,,none,NaN,NaN
6,left,14.019126800005324,19670.991437,14.019126800005324,19670.991437,False,1.3853364000096917,1.4164892999979202
7,none,15.519820899993647,19672.408661700003,,,none,0.12062060000607744,0.23531529999672784
8,left,17.019065900007263,19672.644769900002,17.019065900007263,19672.644769900002,False,0.3618975999997929,1.7391250999971817
9,left,18.518145300011383,19674.3851987,18.518145300011383,19674.3851987,False,0.31799660000251606,1.4547514999976556
10,none,20.033645000017714,19675.840930000002,,,none,0.159652999980608,1.3554891999992833
11,right,21.51732080001966,19677.1979385,21.51732080001966,19677.1979385,red,0.31613089999882504,1.6373351999973238
12,left,23.017271799995797,19678.927909600003,23.017271799995797,19678.927909600003,False,0.4055040000239387,1.498825199996645
13,none,24.51647430000594,19680.427255000002,,,none,0.19787139998516068,1.2905699999973876
14,left,26.01669660001062,19681.7184978,26.01669660001062,19681.7184978,False,0.2964231999940239,1.5955891000012343
15,none,27.532436200010125,19683.3164833,,,none,0.12378069999977015,1.342470699997648
16,right,29.033144799992442,19684.6607197,29.033144799992442,19684.6607197,red,0.4116309000237379,1.786482799998339
17,none,30.53090240000165,19686.5581008,,,none,NaN,NaN
