trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,7.648491300176829,8272.151853700001,,,NaN,NaN,NaN
2,right,9.147939200047404,8273.655111600001,9.147939200047404,8273.655111600001,False,NaN,NaN
3,none,10.64724349998869,8275.1548365,,,NaN,NaN,NaN
4,right,12.146747600054368,8276.655413,12.146747600054368,8276.655413,False,NaN,NaN
5,none,13.663253400009125,8278.1553538,,,NaN,NaN,NaN
6,left,15.145978400018066,8279.6592162,15.145978400018066,8279.6592162,NaN,NaN,NaN
