trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,7.849013899998681,9074.1244408,,,NaN,NaN,NaN
2,right,9.35048469999856,9075.6265857,9.35048469999856,9075.6265857,False,NaN,NaN
3,none,10.85007669999868,9077.125870200001,,,NaN,NaN,NaN
4,right,12.35108819999914,9078.6266261,12.35108819999914,9078.6266261,False,NaN,NaN
5,none,13.850888899998608,9080.1267262,,,NaN,NaN,NaN
6,left,15.352041299998746,9081.6276153,15.352041299998746,9081.6276153,NaN,NaN,NaN
7,none,16.853233799998634,9083.1284827,,,NaN,NaN,NaN
8,left,18.354261399999814,9084.629021800001,18.354261399999814,9084.629021800001,NaN,NaN,NaN
9,left,19.853934199998548,9086.1291235,19.853934199998548,9086.1291235,NaN,NaN,NaN
