trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,6.671034099999815,67.930969,,,NaN,NaN,NaN
2,right,8.171672700031195,74.7312825,8.171672700031195,74.7312825,NaN,NaN,NaN33,none,9.673908099997789,76.4604831,,,NaN,NaN,NaN4,4,right,11.169540000031702,77.7313455,11.169540000031702,77.7313455,NaN,NaN,NaN5,none,12.667859999986831,79.4438892,,,NaN,NaN,NaN
6,left,14.167138499964494,80.72682780000001,14.167138499964494,80.72682780000001,NaN,NaN,NaN
7,none,15.667442600009963,82.44238200000001,,,NaN,NaN,NaN
8,left,17.18304829997942,83.72530920000001,17.18304829997942,83.72530920000001,NaN,NaN,NaN
9,left,18.66811410000082,85.45822770000001,18.66811410000082,85.45822770000001,NaN,NaN,NaN
