trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,8.560229999944568,7001.5139402,,,NaN,NaN,NaN
2,right,10.061352899996564,7003.0182966,10.061352899996564,7003.0182966,False,NaN,NaN
3,none,11.563048199983314,7004.514606000001,,,NaN,NaN,NaN
4,right,13.064455199986696,7006.015321700001,13.064455199986696,7006.015321700001,False,NaN,NaN
5,none,14.566052499925718,7007.516149700001,,,NaN,NaN,NaN
6,left,16.067905199946836,7009.0176953,16.067905199946836,7009.0176953,NaN,NaN,NaN
